sec_id,name,list_date,last_trade_date,n_bars,delist_reason,terminal_value,terminal_value_basis,source,last_reviewed,notes
6030,Hail Agriculture Development Co.,2001-12-31,2009-10-14,2154,,,,,,
7050,Saudi Integrated Telecom Company,2011-06-28,2013-02-05,399,,,,,,
1310,Mohammad Al Mojil Group,2008-05-26,2017-05-07,2234,,,,,,
8090,Sanad Cooperative Insurance Co.,2007-07-21,2017-05-14,2451,,,,,,
6080,Bishah Agricultural Development Co.,2002-01-26,2017-05-17,3599,,,,,,
2260,Sahara Petrochemical Co.,2004-07-07,2019-05-20,3804,,,,,,
1040,Alawwal Bank,2001-12-31,2019-06-17,4486,,,,,,
8011,MetLife AIG ANB Cooperative Insurance Co.,2013-11-26,2020-03-02,1569,,,,,,
8140,Al-Ahlia Insurance Co.,2007-10-06,2020-12-07,3283,,,,,,
8290,Solidarity Saudi Takaful Co.,2010-06-08,2021-03-01,2675,,,,,,
1090,Samba Financial Group,2001-12-31,2021-04-04,5029,,,,,,
1330,Abdullah A. M. Al-Khodari Sons Co.,2010-10-23,2021-11-04,2752,,,,,,
8130,Alahli Takaful Co.,2007-08-18,2022-01-13,3595,,,,,,
2002,National Petrochemical Co.,2009-08-08,2022-04-12,3163,,,,,,
8110,Saudi Indian Company for Cooperative Insurance,2007-08-25,2022-05-25,3678,,,,,,
8080,SABB Takaful Co.,2007-06-16,2022-10-20,3829,,,,,,
8312,Alinma Tokio Marine Co.,2012-06-24,2023-10-25,2824,,,,,,
4010,Dur Hospitality Co.,2001-12-31,2023-12-04,5625,,,,,,
3001,Hail Cement Co.,2011-10-16,2024-06-12,3158,,,,,,
8270,Buruj Cooperative Insurance Co.,2010-02-15,2025-10-27,3915,,,,,,
