label,age_years,perf_1m,perf_3m,perf_6m,perf_1y,perf_3y,perf_5y,perf_10y,ddmax,below_ath,off_low,ext60,ema_comp,ema21gap,nrhi,value
P,10,7,17,21,36,44,-15,23,48,28,40,4.3,2.5,1.8,94,1000000
Fcoil,10,7,17,21,36,44,-15,23,48,28,40,4.3,8.0,1.8,94,1000000
P1m29,10,29,17,21,36,44,-15,23,48,28,40,4.3,2.5,1.8,94,1000000
F1m30,10,30,17,21,36,44,-15,23,48,28,40,4.3,2.5,1.8,94,1000000
Ppy,10,7,17,21,-35,44,-15,23,48,28,40,4.3,2.5,1.8,94,1000000
Fpy,10,7,17,21,-45,44,-15,23,48,28,40,4.3,2.5,1.8,94,1000000
Poff32,10,7,17,21,36,44,-15,23,48,28,32,4.3,2.5,1.8,94,1000000
Foff29,10,7,17,21,36,44,-15,23,48,28,29,4.3,2.5,1.8,94,1000000
Pbath95,10,7,17,21,36,44,-15,23,96,95,40,4.3,2.5,1.8,94,1000000
Fbath96,10,7,17,21,36,44,-15,23,97,96,40,4.3,2.5,1.8,94,1000000
